Datetime,Predicted_MCP,Upper_CI,Lower_CI
2025-02-27 13:30:00,3031.053,3642.9283842066566,2419.1775728245934
2025-02-27 13:45:00,3593.7693,4205.644692800406,2981.8938814183434
2025-02-27 14:00:00,4753.906,5365.781167409781,4142.030356027719
2025-02-27 14:15:00,3340.9265,3952.8019193629066,2729.0511079808434
2025-02-27 14:30:00,3433.5806,4045.4559720972816,2821.7051607152184
2025-02-27 14:45:00,3829.1743,4441.049722097281,3217.2989107152184
2025-02-27 15:00:00,3906.1768,4518.052163503531,3294.3013521214684
2025-02-27 15:15:00,3916.8533,4528.728677175406,3304.9778657933434
2025-02-27 15:30:00,4052.0396,4663.914956472281,3440.1641450902184
2025-02-27 15:45:00,3996.705,4608.580483816031,3384.8296724339684
2025-02-27 16:00:00,4138.885,4750.760171316031,3527.0093599339684
2025-02-27 16:15:00,4160.4404,4772.315835378531,3548.5650239964684
2025-02-27 16:30:00,4085.651,4697.526284597281,3473.7754732152184
2025-02-27 16:45:00,3914.481,4526.356362722281,3302.6055513402184
2025-02-27 17:00:00,4216.126,4828.001382253531,3604.2505708714684
2025-02-27 17:15:00,4078.2683,4690.143716237906,3466.3929048558434
2025-02-27 17:30:00,3977.1953,4589.070718191031,3365.3199068089684
2025-02-27 17:45:00,4342.267,4954.142495534781,3730.3916841527184
2025-02-27 18:00:00,4199.794,4811.669351003531,3587.9185396214684
2025-02-27 18:15:00,3998.6443,4610.519692800406,3386.7688814183434
2025-02-27 18:30:00,4008.707,4620.582436941031,3396.8316255589684
2025-02-27 18:45:00,4234.0713,4845.946694753531,3622.1958833714684
2025-02-27 19:00:00,4208.174,4820.049233816031,3596.2984224339684
2025-02-27 19:15:00,4589.828,5201.703530691031,3977.9527193089684
2025-02-27 19:30:00,4220.7896,4832.664956472281,3608.9141450902184
2025-02-27 19:45:00,4013.1494,4625.024819753531,3401.2740083714684
2025-02-27 20:00:00,4703.6753,5315.550698659781,4091.7998872777184
2025-02-27 20:15:00,4097.5933,4709.468667409781,3485.7178560277184
2025-02-27 20:30:00,3788.3882,4400.263589284781,3176.5127779027184
2025-02-27 20:45:00,3867.1348,4479.010171316031,3255.2593599339684
2025-02-27 21:00:00,3834.7424,4446.617837331656,3222.8670259495934
2025-02-27 21:15:00,3778.6658,4390.541177175406,3166.7903657933434
2025-02-27 21:30:00,3670.4624,4282.337808034781,3058.5869966527184
2025-02-27 21:45:00,3568.4624,4180.337808034781,2956.5869966527184
2025-02-27 22:00:00,3581.7236,4193.599038503531,2969.8482271214684
2025-02-27 22:15:00,3517.632,4129.507485769156,2905.7566743870934
2025-02-27 22:30:00,3399.1042,4010.9796537379066,2787.2288423558434
2025-02-27 22:45:00,3443.4429,4055.3182767847816,2831.5674654027184
2025-02-27 23:00:00,3387.3313,3999.2067045191566,2775.4558931370934
2025-02-27 23:15:00,3310.1284,3922.0038236597816,2698.2530122777184
2025-02-27 23:30:00,3284.0972,3895.9725736597816,2672.2217622777184
2025-02-27 23:45:00,3311.205,3923.0804838160316,2699.3296724339684
2025-02-28 00:00:00,3240.1692,3852.0445951441566,2628.2937837620934
2025-02-28 00:15:00,3274.3782,3886.2535795191566,2662.5027681370934
2025-02-28 00:30:00,3314.9434,3926.8187650660316,2703.0679536839684
2025-02-28 00:45:00,3320.5574,3932.4327787379066,2708.6819673558434
2025-02-28 01:00:00,3259.9941,3871.8695463160316,2648.1187349339684
2025-02-28 01:15:00,3264.7454,3876.6207670191566,2652.8699556370934
2025-02-28 01:30:00,3215.4648,3827.3402494410316,2603.5894380589684
2025-02-28 01:45:00,3238.5515,3850.4269193629066,2626.6761079808434
2025-02-28 02:00:00,3204.5378,3816.4132474879066,2592.6624361058434
2025-02-28 02:15:00,3237.0347,3848.9100736597816,2625.1592622777184
2025-02-28 02:30:00,3203.5437,3815.4191068629066,2591.6682954808434
2025-02-28 02:45:00,3289.4563,3901.3317045191566,2677.5808931370934
2025-02-28 03:00:00,3259.107,3870.9823392847816,2647.2315279027184
2025-02-28 03:15:00,3398.7463,4010.6217435816566,2786.8709321995934
2025-02-28 03:30:00,3562.6853,4174.560708425406,2950.8098970433434
2025-02-28 03:45:00,3510.0408,4121.916177175406,2898.1653657933434
2025-02-28 04:00:00,3547.77,4159.645425222281,2935.8946138402184
2025-02-28 04:15:00,3618.4023,4230.277749441031,3006.5269380589684
2025-02-28 04:30:00,3647.4233,4259.298745534781,3035.5479341527184
2025-02-28 04:45:00,3395.7078,4007.5831693629066,2783.8323579808434
2025-02-28 05:00:00,3568.1533,4180.028726003531,2956.2779146214684
2025-02-28 05:15:00,3656.8015,4268.676919362906,3044.9261079808434
2025-02-28 05:30:00,3304.7007,3916.5760892847816,2692.8252779027184
2025-02-28 05:45:00,3474.443,4086.3185209254066,2862.5677095433434
2025-02-28 06:00:00,3565.3784,4177.253823659781,2953.5030122777184
2025-02-28 06:15:00,3867.9333,4479.808755300406,3256.0579439183434
2025-02-28 06:30:00,3741.3054,4353.180825612906,3129.4300142308434
2025-02-28 06:45:00,3401.2505,4013.1258939722816,2789.3750825902184
2025-02-28 07:00:00,4063.8335,4675.708901784781,3451.9580904027184
2025-02-28 07:15:00,4709.189,5321.064370534781,4097.313559152719
2025-02-28 07:30:00,3883.328,4495.203286550406,3271.4524751683434
2025-02-28 07:45:00,4268.9395,4880.814858816031,3657.0640474339684
2025-02-28 08:00:00,4421.959,5033.834390066031,3810.0835786839684
2025-02-28 08:15:00,4270.616,4882.491616628531,3658.7408052464684
